ts,bid_px,ask_px,bid_sz,ask_sz
1773754206430583661,252.7,253.35,100.0,100.0
1773754206430724119,250.0,253.35,100.0,100.0
1773754206430748771,252.73,253.35,100.0,100.0
1773754206430781291,252.72,253.35,100.0,100.0
1773754206430895760,250.0,253.35,100.0,100.0
1773754206431225470,252.7,253.35,100.0,100.0
1773754206431283119,250.0,253.35,100.0,100.0
1773754206431380041,252.71,253.35,100.0,100.0
1773754206431541387,250.0,253.35,100.0,100.0
1773754206433351980,250.0,252.76,100.0,100.0
1773754206433490599,250.0,253.35,100.0,100.0
1773754206433992069,250.0,252.76,100.0,100.0
1773754206435041718,250.0,253.35,100.0,100.0
1773754206447783009,250.0,252.75,100.0,100.0
1773754206447957265,250.0,252.74,100.0,100.0
1773754206448087467,250.0,252.75,100.0,100.0
1773754206449223832,250.0,253.35,100.0,100.0
1773754206449251560,250.0,252.73,100.0,100.0
1773754206450576256,252.66,252.73,100.0,100.0
1773754206496713742,252.66,252.73,100.0,200.0
1773754206496816617,250.0,252.73,100.0,200.0
1773754206496824062,250.0,252.73,100.0,100.0
1773754206496838846,250.0,252.73,100.0,200.0
1773754206496865050,250.0,252.73,100.0,100.0
1773754206496909389,250.0,253.35,100.0,100.0
1773754206496930626,252.66,253.35,100.0,100.0
1773754206496955722,250.0,253.35,100.0,100.0
1773754206496996546,252.69,253.35,100.0,100.0
1773754206497062062,252.68,253.35,100.0,100.0
1773754206497458144,250.0,253.35,100.0,100.0
1773754206497481989,252.66,253.35,100.0,100.0
1773754206497510971,252.65,253.35,100.0,100.0
1773754206497558908,250.0,253.35,100.0,100.0
1773754206497965062,252.65,253.35,100.0,100.0
1773754206498928991,250.0,253.35,100.0,100.0
1773754206498953781,252.65,253.35,100.0,100.0
1773754206499792312,250.0,253.35,100.0,100.0
1773754206499816819,252.66,253.35,100.0,100.0
1773754206502707505,250.0,253.35,100.0,100.0
1773754206504600039,252.61,253.35,100.0,100.0
1773754206527630558,250.0,253.35,100.0,100.0
