ts,open_px,high_px,low_px,close_px,volume
1773774180000,671.205,671.205,670.97,671.0,892.0
1773774240000,671.04,671.075,671.015,671.03,751.0
1773774300000,671.015,671.015,670.935,670.95,1087.0
1773774360000,670.925,670.94,670.62,670.62,1260.0
1773774420000,670.67,670.77,670.65,670.69,2148.0
1773774480000,670.75,670.99,670.75,670.97,5759.0
1773774540000,671.03,671.03,670.9,670.95,333.0
1773774600000,670.98,671.22,670.98,671.18,1856.0
1773774660000,671.15,671.15,671.0,671.1,756.0
1773774720000,671.075,671.075,671.01,671.06,698.0
1773774780000,671.05,671.15,671.05,671.12,1795.0
1773774840000,671.13,671.17,671.13,671.155,334.0
1773774900000,671.21,671.58,671.21,671.58,4102.0
1773774960000,671.52,671.52,671.42,671.42,1276.0
1773775020000,671.39,671.415,671.31,671.33,1243.0
1773775080000,671.32,671.56,671.32,671.55,1104.0
1773775140000,671.52,671.56,671.42,671.42,2105.0
1773775200000,671.41,671.435,671.27,671.31,890.0
1773775260000,671.26,671.35,671.23,671.23,2503.0
1773775320000,671.185,671.3,671.105,671.105,4025.0
1773775380000,671.14,671.23,671.12,671.13,1367.0
1773775440000,671.15,671.22,671.15,671.19,3485.0
1773775500000,671.2,671.2,671.07,671.07,3228.0
1773775560000,671.095,671.15,671.07,671.09,1826.0
1773775620000,671.115,671.13,671.05,671.075,1636.0
1773775680000,671.135,671.22,671.07,671.145,1773.0
1773775740000,671.075,671.075,670.98,671.05,1860.0
1773775800000,671.045,671.255,671.03,671.24,2063.0
1773775860000,671.2,671.235,671.07,671.23,2625.0
1773775920000,671.215,671.28,671.1,671.1,1785.0
1773775980000,671.115,671.185,671.09,671.09,2399.0
1773776040000,671.09,671.09,670.95,671.0,1512.0
1773776100000,671.02,671.14,671.02,671.03,2130.0
1773776160000,671.02,671.04,670.98,671.01,1541.0
1773776220000,671.03,671.08,671.02,671.07,1289.0
1773776280000,671.06,671.08,670.98,670.98,1232.0
1773776340000,670.99,671.02,670.97,671.0,707.0
1773776400000,671.0,671.13,671.0,671.065,9652.0
1773776460000,671.095,671.15,671.07,671.07,4196.0
1773776520000,671.05,671.05,670.86,670.91,2363.0
1773776580000,670.93,670.95,670.755,670.9,2730.0
1773776640000,670.86,670.905,670.84,670.875,3643.0
1773776700000,670.85,671.03,670.85,671.02,1937.0
